1000000 100000
0 479177 51378
0 742357 578394
0 328987 585376
0 408408 270296
0 992463 260689
0 738745 519205
1 128241 460498
1 825102 865490
0 13663 458089
1 822134 729982
0 860117 808422
1 299136 167794
1 495364 624589
0 963023 692952
1 703926 672062
0 275601 594008
0 74377 606555
1 703413 58696
1 743737 715601
0 966478 610393
0 835003 412388
1 892734 344398
1 585491 279217
1 194035 772785
0 835817 424954
1 889894 469558
1 877254 838584
0 625019 197064
0 975800 94316
1 606777 433798
0 463136 276606
1 576591 490605
0 451693 548575
0 718344 518075
1 211156 246636
1 656385 355180
0 20847 721906
0 108989 350021
0 134528 831735
0 541234 871498
1 529354 862616
0 928169 544196
1 622501 605480
0 804484 783282
0 547265 761632
0 369541 794109
1 402910 567378
0 1373 891113
0 840649 861930
0 545538 622871
0 819734 150777
1 766890 773946
0 213742 22140
1 629161 191197
0 141274 146349
0 103523 873958
1 246096 94271
1 700796 606630
1 376492 460695
0 184840 145947
0 263940 480617
1 195922 92519
1 734484 649806
1 411979 277487
1 725984 551260
0 145583 631528
1 782220 764472
1 145929 925466
0 868180 114030
1 864560 184949
0 421256 214127
1 648786 795679
1 883387 122543
1 399942 226642
1 400907 730647
1 357526 310419
0 588083 621270
0 465772 533516
0 80086 596830
1 381456 494042
1 65325 481129
1 188894 77677
0 559749 906524
0 786303 193214
1 276076 432839
0 726470 513549
1 88858 883562
1 956583 182852
1 680673 80059
1 978405 678387
1 963987 87721
0 789636 432848
0 677650 795993
1 447056 492014
0 642793 84913
1 345102 911678
0 912723 478317
0 866976 267639
1 716701 133703
0 664825 276324
0 722914 889858
1 362178 152331
0 648969 108886
0 950660 67007
1 601329 705820
0 579212 38557
0 37440 575928
1 34731 21742
1 29979 261487
1 871192 280761
0 176136 294433
0 525071 82476
1 939107 763334
1 251527 140024
0 840267 51965
1 151851 169589
1 921340 493929
0 760579 245810
1 795945 353403
1 685295 482762
0 764266 27936
0 167407 881425
1 667267 187227
1 7092 122972
0 156883 251265
0 599488 613766
1 939835 695568
1 18287 259611
1 159101 622386
0 782068 865222
1 274835 745795
0 981373 358389
0 688793 100096
0 569222 47082
1 283327 3427
1 474219 941738
0 729587 931873
0 475526 586160
0 289689 763354
0 342965 253311
0 344993 765324
1 27836 510728
1 493811 537987
1 520869 642010
0 359683 941350
1 248987 967077
1 160265 216714
1 951266 83822
0 987937 130923
1 450464 849353
1 294607 635689
1 623173 980636
1 290438 641112
0 291083 438327
1 571688 729853
1 134721 950201
0 899997 507029
0 915972 874636
0 980443 303979
1 163694 265746
1 281919 150313
0 844322 823493
0 439871 518031
0 147374 660237
1 253818 265292
0 867330 8847
0 241460 245984
0 462555 907663
0 980068 392381
0 137146 59773
0 234497 561787
0 726860 915781
1 176429 864167
1 255400 97726
1 367337 753157
0 952759 593497
0 15824 544393
0 385896 967073
1 300043 133965
1 466715 188809
1 419401 318609
1 283688 877507
1 398163 514120
0 379502 588299
0 278245 235941
1 855230 915895
1 88895 217806
1 782008 490320
0 492387 534778
0 923890 819322
0 427732 393697
0 133032 609567
1 35222 439165
1 640946 390660
1 295657 833402
1 896105 767321
0 178336 196927
1 475837 299727
1 266608 609935
1 452033 71505
1 246204 384371
0 72585 278388
1 328825 298856
0 556932 407384
1 610226 615938
1 371440 141300
0 551220 667168
0 409610 975006
1 282380 736377
1 564761 696104
0 314810 63673
1 136496 93262
1 867159 227922
0 749121 541972
1 962145 457203
1 794195 932300
0 776740 442142
1 139463 276187
1 263826 450385
1 501086 824028
0 133808 825057
1 459271 840781
1 512384 216191
0 453834 366318
0 521684 583528
0 921768 36965
0 620119 574073
0 235970 300923
1 569053 969384
1 824503 545512
1 898409 287749
1 343753 997139
1 622669 705258
0 761687 923217
0 735378 625809
1 531481 677541
0 90914 447816
1 87938 624262
1 359135 51178
1 508918 26211
0 845917 419093
1 41782 634409
1 830230 912590
1 948249 998755
1 589724 284866
0 246926 565311
0 390901 650796
1 90695 230688
1 812438 40020
0 591129 904094
0 381096 48040
1 540260 350621
0 85511 292926
1 597741 889803
0 323344 649515
1 834378 739794
0 831809 580425
1 343450 743693
0 712317 69086
1 708405 378301
1 88020 920093
1 983824 310682
0 958745 771349
1 409022 363873
1 582740 946428
1 621150 591717
1 75932 694153
1 137266 831828
1 59017 919469
0 45498 301113
0 916374 845407
1 426796 309162
1 153848 757364
1 632098 20883
1 542515 2815
1 489653 530904
1 301542 200185
1 249608 165859
0 279468 19412
0 326226 122643
1 4449 995213
0 457306 49439
0 193719 724854
0 600302 616614
0 804049 929824
1 498890 243835
0 26961 980163
1 75110 914378
0 170987 437733
1 498846 131052
1 501418 891613
0 34705 474341
1 535150 543675
0 207927 897418
1 167913 817087
0 287810 501010
0 518759 145273
0 527729 696496
0 887053 385346
0 948262 456073
1 477077 422963
0 778938 250278
0 608203 444630
1 633675 454898
0 77195 244991
0 729237 843802
0 105994 132697
0 221367 918265
1 165663 495184
1 982518 569607
1 301249 9738
1 378920 94412
0 399585 188198
1 760020 536792
1 700964 611883
0 29517 874115
0 165348 745562
1 977753 507823
1 91755 612707
1 651526 760121
1 505159 416443
1 497312 62794
0 854964 88175
0 299511 115600
1 988278 241266
0 557793 273452
1 890259 299196
0 606914 383578
0 805064 415670
0 296043 778096
1 510139 251269
1 364274 742982
1 291353 560335
0 36403 394986
0 131964 166302
1 100986 394370
1 345197 656079
1 659945 619771
0 878166 466329
1 953129 104580
0 58597 170284
0 837454 788414
0 94070 216065
1 86033 680365
1 752743 946664
1 357082 154899
0 259228 56009
1 642829 971279
1 540415 283420
1 76933 631335
0 483147 922410
0 15025 546098
0 547570 274069
0 899695 930074
1 714910 218845
0 218301 222355
0 330946 894727
1 620542 67238
0 827916 509478
1 376623 100597
1 407918 540819
1 624152 429157
1 382077 730137
1 937938 887907
1 183126 256478
0 546170 72019
0 502438 752424
1 893496 328955
1 810998 698356
0 767044 147704
0 98049 702366
1 162462 215520
1 480736 927643
0 167521 35295
0 925542 247286
0 81895 500342
1 260813 356209
1 801504 618448
0 6743 611901
0 810496 546777
0 281476 745288
0 518549 985304
0 745785 396348
1 392468 978866
1 573927 395365
1 15746 866235
1 62543 946418
1 285526 79298
1 798070 474196
1 308138 743025
0 307121 334916
0 620616 399066
0 473358 806082
1 157364 823
0 687999 748040
0 969579 333970
0 39038 712037
1 377509 987912
1 453140 668195
1 271563 13532
0 618685 298232
1 491542 870288
0 716229 925591
1 989884 282141
0 763720 701599
1 770016 230293
0 608692 10819
0 350172 507465
0 346021 217649
1 280016 103533
0 624436 384307
1 273943 637943
0 596303 499486
0 121301 969829
1 329787 28846
0 717402 329366
1 138495 569130
0 988935 794527
1 939128 426183
0 801294 849464
0 775871 478231
1 59163 824111
1 708312 998729
0 164989 949198
1 87711 14554
0 675385 354762
1 546560 798457
0 61548 114150
1 750201 611702
0 60061 108592
1 696512 25388
1 223873 751211
0 641082 499810
1 898669 176552
0 798909 976332
1 131173 963884
0 739253 398703
0 449487 791725
1 427390 230128
0 118911 680381
0 659208 522127
0 124013 447982
0 97971 662147
1 174701 909594
0 462004 803214
0 226016 228458
0 221881 669458
1 328927 600317
1 431242 847085
0 784478 554025
1 839817 217226
0 425737 727746
0 955015 463654
0 19634 988380
1 427651 562618
0 269112 345837
1 743064 776999
0 317741 114527
1 166829 80209
0 894576 478992
0 483324 285438
1 497503 225631
0 357325 761239
1 864436 437110
1 299442 830008
1 255863 539480
1 937167 343036
1 540498 619133
0 986062 342408
0 499790 961960
1 711665 936380
1 592545 899717
0 534237 877804
1 345552 224172
1 150563 744069
0 50395 543644
1 64273 916652
1 915247 750623
1 825172 358386
1 673210 751915
0 947634 739992
0 720994 676894
0 502387 276267
0 576577 316770
1 395209 176686
1 573256 24909
1 816396 849383
1 510690 328877
0 486656 456710
1 524874 800515
0 165393 774964
1 424742 804742
0 806326 74773
0 468297 289877
1 890469 105340
0 479959 136542
1 194153 684071
0 531484 353282
0 183154 343941
1 8982 189617
0 644503 500708
1 471609 128807
0 368868 156563
0 263331 317382
1 872663 150522
1 443943 777147
0 401823 966886
1 81056 189721
1 766431 471821
1 242792 116450
1 79740 385647
0 194721 184192
0 265233 521636
0 535619 924426
1 334535 305960
0 672636 315552
1 737884 580521
0 402494 204357
1 257517 379299
0 23687 60561
0 262589 917037
1 446701 70607
0 698251 15431
1 821824 499593
0 391335 15757
1 548728 352111
1 379272 203819
1 381987 987627
0 81356 555955
0 519537 176835
1 951721 175422
0 295928 43525
0 822089 186993
1 73454 342475
0 774498 137063
0 20547 727774
0 817745 558344
0 629534 671669
1 719715 152285
1 334807 606103
0 861125 441220
0 842239 534131
1 940566 860063
1 961384 942975
1 202370 170030
1 887417 428921
1 466085 498063
1 207004 107876
1 933438 810383
1 61556 850394
0 475305 554161
1 338395 450281
0 224234 37440
1 916292 655569
0 16549 265542
1 598833 69023
1 78085 192253
0 606135 344648
1 891723 669516
0 460726 621577
0 629535 385546
1 856107 961077
0 151006 749095
1 63607 156045
1 637226 406117
0 783939 308476
1 496126 828157
0 815432 167903
1 898320 934625
0 860103 365685
1 635120 633760
1 448365 618942
0 694424 340379
0 962908 330690
0 791875 421734
0 435297 610080
1 70440 567133
1 566029 880916
0 355494 462816
1 882816 122367
1 785478 906049
1 936817 756164
0 404460 282388
0 752938 363545
0 189111 573925
1 236074 54414
0 838737 527117
0 840854 792565
0 269399 967492
1 354048 731965
0 179629 722372
1 99469 233422
1 671651 868444
1 138501 77404
1 707513 675
1 9723 671785
1 217853 133814
0 32861 808404
0 267822 212341
1 717423 163809
1 671915 865691
1 967182 387348
0 421082 560436
1 808689 805498
0 933322 680068
1 104826 143276
0 198446 179879
1 858735 54517
1 333234 308157
0 596085 890970
1 257605 325935
1 156575 328078
0 306640 412489
1 648312 52297
1 17577 321934
1 397248 563328
1 573840 296121
1 951849 477074
1 88313 340968
1 538234 537914
0 279212 145210
1 285334 627173
0 843811 433643
0 67655 401923
1 861812 963758
1 238000 775141
1 758554 470383
1 706989 599195
1 393895 555469
0 911449 271712
1 681806 793679
0 459324 426267
0 540805 975730
0 671937 475686
1 239830 469391
1 702473 621636
1 155184 35333
0 328244 156909
1 529825 520128
1 161403 128941
1 269479 617357
0 788289 489087
1 588194 298696
0 762634 172351
1 917030 289462
0 706529 565962
1 595564 383651
1 865095 23211
0 513977 687711
0 118582 588233
1 772109 157563
0 327647 234131
1 591349 942705
1 672091 863911
1 210136 603391
0 228036 394052
0 58458 870685
1 683520 148422
0 416040 565609
0 391738 7636
1 940821 398678
0 625750 722090
0 108008 831456
0 313002 649833
1 332002 113064
0 473218 957500
0 315360 370014
0 196124 933542
1 10286 751329
1 257728 422709
0 447121 710381
0 726186 718480
0 870522 6166
0 605065 477871
1 517740 868048
1 561766 98137
1 915603 86030
1 287266 19243
1 12259 883677
1 41669 692756
0 373402 417268
1 920086 41448
0 968092 618298
1 435614 941364
1 802154 110559
1 181326 385668
0 75485 99199
1 90503 985977
0 960077 761909
0 789995 538004
1 329927 278954
0 753789 642029
1 105750 191076
1 503252 232131
1 735210 553767
1 291632 891142
1 574855 216890
1 361728 762080
0 180639 403724
1 915423 74565
0 189727 364207
0 564299 575151
0 401056 895878
0 656035 114780
1 705159 317319
0 743555 255179
0 343657 947401
1 637899 213316
0 66941 564825
1 637672 968259
1 808845 514553
0 570218 411728
1 145776 564398
0 418756 48122
0 659474 901525
0 407008 989815
1 169528 964366
1 337556 519155
0 425603 684074
0 96865 524927
0 48398 811182
1 809318 244577
1 449284 77203
0 882465 126876
1 669609 422388
1 806831 807388
1 489737 971607
1 969471 845090
0 742481 768333
0 670314 794724
0 935550 852204
1 247959 457835
0 361362 584484
0 254257 67783
1 257573 826047
1 961680 513705
1 448338 887424
1 484602 715770
0 446201 401491
1 969938 115077
1 425910 947565
1 295994 900603
1 905469 737851
1 182407 798380
0 27201 114270
0 285959 187771
1 779721 476559
0 63472 57290
1 860649 544557
1 773106 285580
1 568941 102617
0 847289 990271
1 63151 903119
0 218344 796845
0 665306 688580
1 92066 233948
1 800531 608417
0 872682 205474
1 308126 583422
1 819609 614588
1 463596 942063
1 848768 803578
0 758065 87108
1 768108 639355
1 512211 69391
1 851094 866585
1 618538 122941
0 868116 956789
1 40699 527576
0 120669 445866
0 832642 989494
0 958829 636407
1 822184 31187
0 352698 857927
1 420708 659800
0 892185 450257
1 707634 644621
0 122977 898119
1 653776 173369
1 130663 890540
0 108950 324839
0 951644 588193
0 922389 142762
1 638957 688152
1 245579 411761
0 337766 104759
1 380530 849698
0 935759 330872
1 916914 684494
1 357873 498781
1 805536 901849
0 527850 152609
1 363871 426024
0 441805 442785
1 142415 663943
0 32864 700565
0 542331 824987
1 509084 950661
1 719281 236725
0 551677 953258
1 453947 182070
1 152699 525160
1 268163 304337
1 573153 745340
1 814698 51317
1 13848 498335
0 615596 131707
1 842875 987219
0 703860 482689
1 949838 955010
1 769002 896975
0 793304 652930
0 189550 867228
0 185099 258717
1 991634 690886
1 952085 173472
0 999278 177820
0 220892 872875
1 239273 254543
1 518659 502478
1 654835 754418
1 91303 923892
1 176518 511393
1 530778 142736
0 317706 200385
1 611798 126098
1 670512 373147
1 191863 673025
1 920221 148977
0 126613 476171
1 633625 385797
1 499958 250631
1 693927 547648
0 312111 725384
1 40410 7882
0 162447 686846
1 247214 540847
1 928522 85181
0 347367 707771
0 404913 511145
0 857199 850753
1 266430 386929
1 115386 560374
0 287667 198279
0 946633 672300
1 815916 212298
0 228038 468603
0 919054 557348
0 741331 472876
0 832821 68000
1 296544 733434
1 476931 671334
1 702683 992020
0 509605 899153
1 615428 463272
0 460303 150461
1 746654 784656
0 516226 86758
1 666438 120588
0 374026 221609
1 569575 49048
0 466554 765866
1 274280 686106
0 547214 174747
1 173157 298207
0 644690 816125
1 585943 115960
0 712502 657656
1 673803 976641
0 51837 242972
1 714704 242361
0 501448 972856
1 628522 207040
1 33019 141895
1 572456 502739
0 30637 371837
1 905771 32560
1 562870 276175
1 618973 879623
1 968091 179545
1 473817 969662
0 881126 223108
0 175252 115978
1 48943 363501
0 444806 954098
1 882110 474741
0 175650 880536
1 625606 261393
0 917935 254118
0 799796 570264
0 8668 935864
1 340932 842846
0 532999 55091
0 949514 948155
0 16932 746055
1 708988 223762
0 233747 37196
1 949913 167095
1 159637 328082
0 950046 396553
1 207248 133455
0 215684 796111
1 943592 108857
0 428514 353766
0 717770 593966
1 154799 854201
0 169450 745935
0 884475 372568
1 852001 622923
0 705061 814300
0 340989 793906
1 977068 89090
1 574116 704010
1 735156 721671
0 543438 15077
0 119344 268894
1 589310 722249
1 807897 385572
0 726175 292239
0 447373 227597
1 510624 815105
1 889696 866052
1 133753 939806
0 633074 825830
0 7045 820657
1 570223 801414
0 693283 87770
1 446039 670855
1 442885 575084
0 512560 755259
1 339129 918119
1 61394 127246
1 275918 825853
1 523238 453380
1 42409 587076
0 981152 597373
0 70274 28876
1 308129 809219
0 348245 421389
0 639595 582382
1 801301 709642
1 719184 208174
0 704057 51956
0 350378 31863
0 791832 215652
0 127636 199997
1 838591 214089
0 190078 104756
1 40811 250466
1 464464 455858
0 935425 888049
0 133457 803687
1 57903 670650
0 818671 215598
1 260947 726887
1 963745 442745
0 970880 379541
0 634379 951356
1 259385 347497
0 602663 965547
1 280740 827657
0 620343 319353
0 85626 213237
1 367312 488729
0 51581 294127
0 307261 386431
1 534289 826590
1 123546 439230
1 974520 840719
1 626472 46748
1 224205 792727
1 36023 522938
0 436687 906946
1 729669 315962
0 681514 226698
0 412197 527109
0 329800 987779
0 481450 534092
1 244120 166928
1 477452 31372
0 842675 213622
0 100970 33369
0 54160 275614
1 326186 235800
0 645474 366684
1 603032 245410
1 145374 631936
1 812406 216785
1 180122 28108
1 445465 869501
0 347502 446439
1 140785 545799
0 97627 912934
0 139720 107226
1 886353 530454
0 424872 478969
1 340673 572970
1 55788 104401
1 333108 150034
0 203959 551740
1 261925 154109
1 450572 435754
0 282724 300276
1 916076 251287
1 167241 720889
1 281076 937734
1 594201 541919
1 288850 514147
1 865756 113209
1 954059 241574
0 203864 314996
1 986998 275552
1 84723 687369
0 93281 449607
1 371835 437277
1 122098 681577
1 926774 121806
0 848870 496798
0 702547 80160
0 896368 406893
1 665762 299655
1 972826 677900
1 799760 686432
1 161614 880331
0 780473 648625
0 944807 188379
0 212464 333329
0 800113 835837
0 167055 955984
0 860099 875502
0 893669 324535
0 444564 480898
1 621450 431825
0 714880 455821
1 954747 921127
1 219308 290602
1 255838 532803
1 19326 407810
0 739382 512570
1 302423 806465
1 307572 975946
1 842231 738095
0 232169 614120
1 506567 457380
0 530689 438831
0 454258 852921
0 721167 817813
0 742272 397786
1 299479 943737
1 465196 764973
0 727310 291748
0 43630 298532
1 280918 733849
1 348217 793398
1 782007 837276
1 783527 969327
1 862308 183806
1 885747 20339
0 361041 785796
0 117341 513753
1 429724 125793
0 934999 129340
1 852253 242883
0 939471 147611
0 732064 969920
1 592465 624881
0 14220 653036
1 783884 998117
0 110354 395434
1 336239 957494
1 797185 851949
1 205909 111150
0 161267 930921
0 837867 236274
0 21182 672617
1 268556 463875
0 347005 81242
1 776121 30895
1 784102 708111
0 499739 592603
0 658221 11322
0 316221 157708
0 954619 524475
0 972650 423453
0 154107 741498
1 34720 557415
0 553543 620414
0 307697 738979
1 644808 418473
1 966037 896851
0 152972 797710
0 103710 193862
1 239902 680415
1 91565 385696
1 276739 313591
1 172841 370955
0 216984 624874
1 251431 264788
0 963384 984423
1 528710 136897
0 403985 547777
1 67213 580663
0 271080 956506
0 378032 701984
0 986240 824016
1 623450 119756
1 609838 549724
1 4407 988164
1 381852 108739
0 186106 447409
1 414996 844765
0 621187 509913
0 915997 417470
1 994131 120129
0 89973 877692
0 527576 370835
1 752278 407524
0 516572 122335
1 144791 651328
1 360368 865709
1 814076 37489
0 759119 316795
0 378845 632514
0 964035 353045
1 965700 971737
0 252814 603944
0 496698 280714
0 124026 834965
1 752458 833203
1 923791 699155
0 944106 23529
1 64975 144316
0 185832 128612
0 735983 438835
1 289071 611295
0 156716 252586
0 348838 350963
1 454983 905532
1 928254 808274
0 213798 968643
0 469217 79832
1 194696 871582
1 276984 111102
0 487396 873299
0 634192 679610
0 421917 46246
0 425522 854476
1 781005 892389
1 422734 987489
0 442457 872997
1 650721 256029
0 262381 180631
1 418407 350293
0 89698 630788
0 396050 660806
0 109447 634579
0 530544 53215
1 236508 670993
0 604547 947320
0 284566 528591
0 472354 117342
0 289572 195773
0 902416 14889
0 861935 619417
1 528779 873998
1 131716 183137
0 654559 159680
1 660274 7263
1 376688 273053
0 412279 206906
0 84886 894369
0 477455 168252
1 698599 877853
0 40055 404641
0 840064 732327
0 883489 812971
0 284414 135621
0 563387 951418
1 386116 461471
0 708160 710891
0 496680 155918
1 452649 126583
1 187163 112698
1 197311 42619
1 682016 159808
1 84346 163464
1 108538 84960
1 792907 778396
0 667496 819812
1 166552 640312
0 216400 108465
0 866459 383117
1 126137 994254
1 163462 618439
0 475674 856299
0 814499 228882
0 462264 90927
1 478081 50379
1 991758 633802
1 638289 436319
1 969912 430304
1 105607 36210
0 821622 923370
1 746925 94300
1 212968 719287
0 281748 543598
0 314441 662189
1 294385 50360
1 14743 426451
0 548287 257534
1 130232 738522
0 703094 290416
1 439052 395880
0 354388 129250
0 136749 49679
1 992716 449328
1 462314 614245
0 154345 888731
0 595070 65360
0 65368 407599
0 93640 75214
1 782963 127661
0 553193 219094
0 751362 605077
0 127520 905341
1 382547 192145
1 635038 499577
0 102649 418448
0 350928 385345
0 908060 710316
1 715502 49688
0 966430 384572
1 128681 294939
1 349661 152518
1 494552 130960
0 449993 134800
1 127837 311621
1 894506 167556
0 561488 29082
0 711489 454038
1 304437 314859
0 903301 964898
1 502165 6374
1 704779 352395
0 939632 771005
0 37417 510869
0 76679 860766
1 649793 721838
0 817278 809803
1 351786 311504
0 949333 93367
1 791726 330987
0 237037 171411
0 501744 816467
1 724455 183234
1 175479 359592
0 765533 252027
1 789639 243947
0 428817 606165
0 769000 329159
1 759618 930091
0 413293 354360
1 411478 195731
0 976726 229433
0 108478 817659
1 770621 105915
0 525078 841928
1 603100 921963
1 862561 708956
1 539758 442239
0 578815 165905
0 678676 2382
1 387097 252093
1 229374 426809
1 939052 72475
1 192716 277991
1 141298 796035
0 268699 948282
0 151799 37145
1 430389 834324
0 449483 744803
1 370455 170215
0 179405 731418
1 246948 444117
0 271871 836815
1 532877 220043
0 43092 936301
1 953152 617948
0 900859 357466
0 29159 679065
1 908759 520782
0 147282 127859
0 99917 399475
1 483880 220251
1 236928 257821
0 106535 891532
1 134377 404812
0 470145 288316
1 86778 778954
1 530043 223356
0 93456 583756
1 570511 89011
1 492571 221306
0 9873 351762
1 418864 932810
1 370609 129632
0 75262 540593
0 493490 483031
0 953385 660797
1 574942 994232
0 372927 275392
0 946506 103225
0 852773 332191
0 594293 148080
0 130774 799788
1 136971 766788
0 175043 691259
1 236207 8691
1 382247 503713
0 20146 93535
0 813551 82379
0 867199 343248
0 677899 621339
1 263876 564574
1 915522 709133
0 447022 898182
1 838389 291557
0 242677 852774
1 60695 159661
0 650293 127949
1 550110 472401
0 521221 118103
1 363843 9824
1 243866 768792
1 322102 161146
1 14685 503499
0 269286 672026
0 561426 731351
0 834285 200922
1 765084 552846
1 446894 370119
1 341593 892880
1 637543 493621
0 160504 723359
0 432895 702787
0 811381 323212
1 119374 16884
0 812296 91732
1 612946 483436
0 246402 677937
1 697393 561161
0 673078 686561
0 780551 967581
1 499826 561866
1 188218 473792
1 491350 4111
1 944160 71401
0 924715 490997
1 601499 722359
1 612986 692226
1 893142 418843
0 701355 267008
0 750411 707483
0 251554 145725
1 236490 768154
1 109397 513746
1 188149 226841
1 226898 582241
1 174235 171257
0 578180 180022
0 553988 233281
1 901930 482780
1 146661 120751
1 799789 763473
1 954031 915364
1 635840 445231
1 653137 757881
1 914358 176606
0 759178 955372
1 54660 637179
0 441110 712021
1 25340 271379
1 821683 188789
0 63238 42906
1 863071 109670
1 800208 120904
0 983007 672902
1 453462 687969
0 119680 716173
0 981770 6660
0 572449 830547
1 521404 963368
1 119055 488134
0 57214 226675
0 515242 640497
0 3897 490963
1 104089 54539
1 719019 899480
0 704115 552675
1 70741 557040
0 53112 891616
1 153271 547957
0 180390 881070
1 918051 50071
1 229481 885751
0 482672 317835
1 111338 480930
0 849441 103094
1 284419 493451
0 384196 266036
1 35686 866906
1 374577 127818
1 624136 692706
0 542221 709730
0 210566 441307
1 24871 671220
1 3135 926407
0 540654 36938
0 448935 247968
1 213991 535692
1 242028 306721
1 816975 796607
1 466353 932524
0 58733 164807
0 980498 579477
0 23882 212550
0 841072 412698
1 730872 31166
1 266239 185958
0 441868 510490
0 622500 555309
0 432738 57526
0 749216 688117
0 652777 471440
0 306586 272256
1 415339 71842
1 140667 962039
0 889732 866209
0 714917 533319
1 878679 475034
0 180942 646636
1 961629 429721
0 635773 491278
1 547187 738776
0 790584 152592
0 206250 914401
1 202752 37593
0 401738 252177
1 863964 916752
0 805094 209957
0 929453 150300
0 489635 963748
1 180352 983027
0 374550 266973
0 782189 813222
0 283150 694833
1 450775 652632
0 802059 14141
1 62484 796424
0 363902 605464
1 609697 623109
0 58971 67283
1 409683 632273
1 899970 19045
1 98417 208092
1 926047 515684
0 593251 561045
0 892925 176527
1 347837 691113
0 10064 747481
0 974997 40974
1 129911 265790
1 956792 266450
0 459914 121404
0 797369 628280
0 672280 261730
1 573614 890809
1 805080 243894
0 624750 827609
0 878264 363110
0 24740 729565
0 227683 376984
0 613967 238286
1 983059 400581
1 78690 147165
1 308568 118976
0 515157 213678
0 16581 290520
0 529413 556712
0 18878 956244
1 105892 679799
1 930574 486489
1 532009 967915
1 789705 364114
0 910893 981589
1 330856 290044
0 299534 348704
0 492261 270995
1 991615 284567
1 507295 191961
0 322729 326759
0 333113 3706
1 878951 875639
0 705414 549823
1 837301 22576
0 239631 953984
0 331006 372840
1 445238 89399
1 454117 668155
1 998227 809135
1 121274 199104
0 240415 573875
0 852897 474727
1 692811 158686
1 664781 22041
0 458926 617198
0 506803 233647
0 67002 823510
0 497434 691136
0 745078 547598
0 423974 538448
0 883095 469879
1 505236 176159
1 606013 190593
1 355662 298372
0 450941 446873
0 110570 888030
1 885390 112944
1 129931 620410
0 355056 286455
0 497538 412721
1 495531 304886
1 479961 843338
0 827208 226338
1 591558 571370
1 646055 991300
0 770834 899903
1 514985 32579
1 142399 90615
1 524404 815252
1 648175 975559
0 620412 67249
0 727202 879216
0 104102 835756
1 83545 447526
1 175094 33363
1 240544 963228
0 471103 520735
0 284228 657256
1 361585 758605
0 9673 264008
0 123503 111516
1 178957 274718
0 889870 787962
0 177255 610019
0 873093 440449
1 115978 232190
1 21025 671017
1 481693 312922
0 516554 741743
1 683376 200429
1 937080 647080
0 620930 7107
0 59246 982915
0 941068 479960
0 652263 74554
0 870090 605586
0 750078 821910
1 206545 517643
1 403356 316562
1 944873 729735
1 543223 849511
1 987108 16375
0 397287 746737
1 783377 567156
0 85237 812534
0 921608 39732
0 184864 290924
0 857674 224061
0 14559 592029
1 930561 435455
1 133114 796771
1 443913 640266
1 572089 551047
0 546100 645443
0 304843 476834
0 583309 397156
1 938210 431050
1 668249 17070
1 819330 350470
0 66056 82705
1 654991 40126
0 19925 91798
1 479298 402052
0 44936 380756
1 264107 806674
1 512107 251547
0 664939 738368
0 421401 360286
0 176680 792545
0 45084 46228
1 458878 124181
1 260376 932819
0 359348 520334
1 655375 807301
1 630645 715463
0 124057 45020
1 301330 553723
1 705514 322490
1 896233 137755
1 929644 779956
0 935125 247109
0 13426 386830
0 107152 757176
1 201674 966632
0 50093 304676
1 262059 55129
0 413846 505160
1 831604 96393
1 12065 100687
0 816443 991233
0 472844 199911
1 93164 701724
0 5512 804489
0 260041 993284
0 260478 790708
0 916744 439601
1 599702 23380
1 409987 562739
0 336651 514603
0 846854 241453
1 148624 291191
0 40982 972780
0 109225 365471
0 252498 361272
1 870895 391992
1 584247 696064
1 858105 234157
1 867285 868105
0 829675 921977
1 299582 855671
1 291126 345269
0 32852 86766
0 90493 896633
0 745010 459788
0 788073 705912
1 315919 944049
0 268198 720217
1 240502 97180
0 65342 340604
1 641730 988697
0 45202 296566
0 891473 392943
0 905139 710700
0 165419 403678
1 38675 387450
1 83182 30855
1 268988 304001
1 436968 375382
0 963882 244544
0 200124 824129
1 39969 56601
1 965058 575692
0 160908 461088
0 936142 721743
1 522039 122827
1 743176 42902
1 127906 700853
0 58213 261707
0 765979 102123
0 327008 362997
0 187233 503486
1 515234 507651
1 719852 982455
1 620011 573800
1 730281 767777
0 823552 72883
1 944466 250051
0 881368 119473
1 991339 521321
0 763289 609957
1 551525 44596
0 648268 772961
1 973983 601665
1 72776 788908
0 15425 698825
1 747710 148212
0 623733 699814
0 648639 348648
1 671713 924642
0 974972 423957
0 861263 316367
1 324128 489915
1 236464 25274
0 94798 53415
1 765166 174987
0 979613 301890
0 594409 874059
1 468847 164228
0 25239 728392
1 853525 901824
0 161369 641220
0 151666 237892
1 928959 940120
1 38832 446487
0 347277 378621
1 427657 882453
0 197154 239044
1 702739 862425
0 373840 211671
0 870458 283453
1 110457 700222
1 645740 817898
0 587101 894060
1 811423 662783
1 789067 2639
0 654002 578652
0 675998 196422
0 733748 309134
1 754174 219078
1 36822 342437
0 957110 331147
0 809422 95266
0 376222 17670
0 970336 314067
0 404283 683035
0 399822 454293
0 540007 637216
1 378383 987210
1 166839 496030
1 976535 990647
0 736750 318262
0 313763 514105
0 940835 173338
0 287782 486851
1 471557 208053
0 185482 241524
1 337119 56492
0 984168 168957
1 46773 275615
1 157795 758056
1 616199 704177
1 895762 378993
0 282867 813647
0 122063 450729
0 212790 96151
1 677820 474650
0 66938 701175
1 217840 474090
